,col01,col02,col03,col04,col05,col06,col07,col08,col09,col10
0,0.19398693219956642,0.041499966095064234,0.9416623146417542,0.4342760932247308,0.5314980283099902,0.37686502792733734,0.6839399431086024,0.6991878918847001,0.7329307991200099,0.09613954826119264
1,0.14525237289397197,0.8514094676098307,0.2744252932236958,0.47453922489168143,0.87645253049304,0.14863221130810533,0.21306059830485446,0.5487247175572751,0.5912632212529605,0.8601352101788091
2,0.625179319574289,0.3562452255118672,0.9091191054468802,0.28370041292977155,0.6754150467664911,0.5254356467777785,0.046984375421494695,0.5994025866864501,0.23080876218165658,0.044819037350763424
3,0.9886929002470738,0.5802061037500166,0.32594733364557515,0.404038323051514,0.8525213059739849,0.560709528399369,0.09562022458250263,0.6849897748171438,0.25230140398091305,0.2542949715987006
4,0.29881436187633226,0.4697987285248042,0.17955647416386855,0.34420980872826457,0.5323446884077877,0.2012670368523346,0.8884142679646068,0.9265072684714443,0.09353392307793884,0.08244313052062757
5,0.20794710145188977,0.35330527476006635,0.015373482772364833,0.15448805078534367,0.6218786897107581,0.6831591647634118,0.15510357726981872,0.3353994537488001,0.9705431672691749,0.13823398067130288
6,0.7526845959335402,0.645134962951483,0.0058899587285549115,0.8502595470860269,0.6451561081362359,0.28450523740900124,0.8990885277674091,0.747980263701242,0.7928586490327677,0.17972928708292246
7,0.6623135348831076,0.3410304149433011,0.9117259607079903,0.3047179706762869,0.41581942643405934,0.14877870051278563,0.7124045353617601,0.7209808810808669,0.9516203455534257,0.4092906326401441
8,0.2428273513580178,0.26684621225974814,0.9932055863656432,0.08159906802758443,0.523571273610828,0.5849645063151909,0.7632256050889739,0.6076042296791652,0.623698286111489,0.47529052378647374
9,0.7568785990551746,0.4662107213641411,0.8524631236096413,0.20357350105792726,0.689769441656472,0.20379435230088017,0.012272394988077862,0.7708509223507736,0.29302205035432616,0.8541656809381454
10,0.8703769692194028,0.9438989153328065,0.5834922904088056,0.896799861046737,0.2647926472269383,0.3445433822400338,0.35435187786641675,0.9818630131294611,0.21106102438811336,0.3809602208617101
11,0.6348535640496389,0.9409825740401834,0.760982689656755,0.7276103431021783,0.29962649231138916,0.2451825816975669,0.14788770849550115,0.010319103103264338,0.03476897463764761,0.39809395675244197
12,0.10664374485570582,0.8076949959464933,0.3796032188258668,0.4785580531073562,0.8891237219362796,0.8722217320233038,0.034051899699919286,0.6706417122428227,0.3840955984000296,0.3606249362897064
13,0.2675930949116897,0.7788338312404062,0.3605270158145648,0.9699786906277674,0.39055383409258415,0.20716580381770355,0.8468895698910122,0.4148705294641508,0.6615904557411593,0.5981026510587296
14,0.5411203476374309,0.4440303303514913,0.35351265218322747,0.755291059078625,0.8679314362926414,0.8578012549940619,0.041582143171936425,0.6394790825860008,0.12724237217961987,0.9637422606273942
